,Event time (years),Coefficient,Std. Error,p-value,Conf. Low,Conf. High
0,-5,-0.10272185115132415,3.348902850772216e-08,0.0,-0.1027219167886139,-0.1027217855140344
1,-4,0.09038914241315921,4.148415796871406e-09,0.0,0.09038913428241366,0.09038915054390476
2,-3,0.006690188591531365,4.14767242382547e-09,0.0,0.006690180462242795,0.006690196720819936
3,-2,0.025703083214289046,4.421264498717737e-09,0.0,0.025703074548769862,0.02570309187980823
4,-1,0.0,0.0,1.0,0.0,0.0
5,0,0.023369193503642194,6.413931142994098e-09,0.0,0.023369180932568154,0.023369206074716233
6,1,-0.000888998767033855,4.187623090962526e-09,0.0,-0.0008890069746242942,-0.000888990559443416
7,2,0.02437993094354185,4.229376806115103e-09,0.0,0.02437992265411563,0.024379939232968068
8,3,0.005788435787015045,4.147399768686596e-09,0.0,0.005788427658260869,0.005788443915769221
9,4,0.023553515345740128,4.147951694575528e-09,0.0,0.0235535072159042,0.023553523475576058
10,5,-0.16669864439176507,0.013130095577892022,6.229351171496145e-37,-0.19243315883800205,-0.1409641299455281
11,6,-0.30636909340143514,4.2890829989719935e-09,0.0,-0.30636910180788335,-0.30636908499498694
12,7,-0.3133816419372595,4.698861321615595e-09,0.0,-0.31338165114685845,-0.3133816327276605
13,8,-0.07632779254789901,4.147930329405823e-09,0.0,-0.07632780067769307,-0.07632778441810495
14,9,0.0042105820774347436,4.147760412554069e-09,0.0,0.004210573947973718,0.004210590206895769
15,10,0.07741891153320835,4.6607791688208515e-09,0.0,0.07741890239824903,0.07741892066816766
16,11,0.02890391533094938,4.187635509277996e-09,0.0,0.028903907123334602,0.02890392353856416
17,12,-0.03381128839175129,4.205041925866737e-09,0.0,-0.03381129663348202,-0.033811280150020565
