pmu,policy_def,N_Properties,Median_FZ3_Beta,Median_Local_R2,Significance_Rate
Isle of Grain,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,1,-0.298197168,0.446692454,100
Leigh Old Town and Southend-on-Sea,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,3086,-0.292312896,0.640405239,100
Canvey Island,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,7622,-0.248142376,0.434997599,94.01731829
Greenwich,(P5) Take further action to reduce the risk of flooding,1441,-0.052746865,0.541408568,98.47328244
East Tilbury & Mucking Marshes,"(P3) Take action to maintain flood defences at their current level, accepting that the flood risk will increase",393,-0.049613587,0.525774603,93.89312977
Shell Haven & Fobbing Marshes,"(P3) Take action to maintain flood defences at their current level, accepting that the flood risk will increase with localised exceptions to protect major infrastructure.",287,-0.049327017,0.500101674,40.41811847
London City,(P5) Take further action to reduce the risk of flooding,634,-0.048780585,0.708451974,72.87066246
Isle of Dogs & Lea Valley,(P5) Take further action to reduce the risk of flooding,2782,-0.035415499,0.532862394,69.12293314
"Purfleet, Grays & Tilbury",(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,5780,-0.019733787,0.617525709,36.62629758
Royal Docks,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,12362,-0.009514116,0.227243326,8.574664294
Swanscombe & Northfleet,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,19,-0.004480728,0.586845093,0
North Kent Marshes,"(P3) Take action to maintain flood defences at their current level, accepting that the flood risk will increase, except in the east end of Gravesend where a P4 policy is proposed.",991,-0.003290429,0.579670325,0
Wandsworth to Deptford,(P5) Take further action to reduce the risk of flooding,9530,0.007241728,0.637410641,69.91605456
Barking & Dagenham,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,7757,0.034057068,0.336621757,47.32499678
Rainham Marshes,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,2943,0.054026621,0.412096213,59.70098539
Thamesmead,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,6343,0.109222257,0.37090219,87.04083241
Dartford & Erith,(P4) Take further action to keep up with climate and land use change so that flood risk does not increase,2976,0.156295325,0.542342218,100
